# JVM native method bindings extracted from binary (RegisterNatives tables)
# Format: library|java_class.method|signature|native_symbol|confidence
#
libjvm.so|jdk.test.whitebox.WhiteBox.addToBootstrapClassLoaderSearch|(Ljava/lang/String;)V|WB_AddToBootstrapClassLoaderSearch|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.addToSystemClassLoaderSearch|(Ljava/lang/String;)V|WB_AddToSystemClassLoaderSearch|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.allocateCodeBlob|(II)J|WB_AllocateCodeBlob|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.allocateMetaspace|(Ljava/lang/ClassLoader;J)J|WB_AllocateMetaspace|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.checkLibSpecifiesNoexecstack|(Ljava/lang/String;)Z|WB_CheckLibSpecifiesNoexecstack|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.classKnownToNotExist|(Ljava/lang/ClassLoader;Ljava/lang/String;)Z|WB_ClassKnownToNotExist|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.clearMethodState|(Ljava/lang/reflect/Executable;)V|WB_ClearMethodState|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.deoptimizeAll|()V|WB_DeoptimizeAll|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.deoptimizeMethod|(Ljava/lang/reflect/Executable;Z)I|WB_DeoptimizeMethod|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.enqueueInitializerForCompilation0|(Ljava/lang/Class;I)Z|WB_EnqueueInitializerForCompilation|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.enqueueMethodForCompilation0|(Ljava/lang/reflect/Executable;II)Z|WB_EnqueueMethodForCompilation|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.forceSafepoint|()V|WB_ForceSafepoint|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.freeCodeBlob|(J)V|WB_FreeCodeBlob|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.freeMetaspace|(Ljava/lang/ClassLoader;JJ)V|WB_FreeMetaspace|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.fullGC|()V|WB_FullGC|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.g1AuxiliaryMemoryUsage|()Ljava/lang/management/MemoryUsage;|WB_G1AuxiliaryMemoryUsage|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.g1InConcurrentMark|()Z|WB_G1InConcurrentMark|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.g1IsHumongous|(Ljava/lang/Object;)Z|WB_G1IsHumongous|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.g1NumFreeRegions|()J|WB_G1NumFreeRegions|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.g1NumMaxRegions|()J|WB_G1NumMaxRegions|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.g1RegionSize|()I|WB_G1RegionSize|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.g1StartConcMarkCycle|()Z|WB_G1StartMarkCycle|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getBooleanVMFlag|(Ljava/lang/String;)Ljava/lang/Boolean;|WB_GetBooleanVMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getCPUFeatures|()Ljava/lang/String;|WB_GetCPUFeatures|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getCodeBlob|(J)[Ljava/lang/Object;|WB_GetCodeBlob|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getCompileQueueSize|(I)I|WB_GetCompileQueueSize|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getCompressedOopsMaxHeapSize|()J|WB_GetCompressedOopsMaxHeapSize|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getDoubleVMFlag|(Ljava/lang/String;)Ljava/lang/Double;|WB_GetDoubleVMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getHeapAlignment|()J|WB_GetHeapAlignment|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getHeapOopSize|()I|WB_GetHeapOopSize|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getIntxVMFlag|(Ljava/lang/String;)Ljava/lang/Long;|WB_GetIntxVMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getLookupCacheMatches|(Ljava/lang/ClassLoader;Ljava/lang/String;)[I|WB_GetLookupCacheMatches|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getLookupCacheURLs|(Ljava/lang/ClassLoader;)[Ljava/net/URL;|WB_GetLookupCacheURLs|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getMethodCompilationLevel|(Ljava/lang/reflect/Executable;Z)I|WB_GetMethodCompilationLevel|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getMethodEntryBci|(Ljava/lang/reflect/Executable;)I|WB_GetMethodEntryBci|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getNMethod|(Ljava/lang/reflect/Executable;Z)[Ljava/lang/Object;|WB_GetNMethod|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getObjectAddress|(Ljava/lang/Object;)J|WB_GetObjectAddress|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getObjectSize|(Ljava/lang/Object;)J|WB_GetObjectSize|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getStringVMFlag|(Ljava/lang/String;)Ljava/lang/String;|WB_GetStringVMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getUint64VMFlag|(Ljava/lang/String;)Ljava/lang/Long;|WB_GetUint64VMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getUintxVMFlag|(Ljava/lang/String;)Ljava/lang/Long;|WB_GetUintxVMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getVMLargePageSize|()J|WB_GetVMLargePageSize|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.getVMPageSize|()I|WB_GetVMPageSize|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.incMetaspaceCapacityUntilGC|(J)J|WB_IncMetaspaceCapacityUntilGC|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.isClassAlive0|(Ljava/lang/String;)Z|WB_IsClassAlive|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.isContainerized|()Z|WB_IsContainerized|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.isInStringTable|(Ljava/lang/String;)Z|WB_IsInStringTable|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.isMethodCompilable|(Ljava/lang/reflect/Executable;IZ)Z|WB_IsMethodCompilable|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.isMethodCompiled|(Ljava/lang/reflect/Executable;Z)Z|WB_IsMethodCompiled|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.isMethodQueuedForCompilation|(Ljava/lang/reflect/Executable;)Z|WB_IsMethodQueuedForCompilation|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.isMonitorInflated|(Ljava/lang/Object;)Z|WB_IsMonitorInflated|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.isObjectInOldGen|(Ljava/lang/Object;)Z|WB_isObjectInOldGen|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.isSharedClass|(Ljava/lang/Class;)Z|WB_IsSharedClass|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.makeMethodNotCompilable|(Ljava/lang/reflect/Executable;IZ)V|WB_MakeMethodNotCompilable|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.markMethodProfiled|(Ljava/lang/reflect/Executable;)V|WB_MarkMethodProfiled|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.metaspaceCapacityUntilGC|()J|WB_MetaspaceCapacityUntilGC|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.parseCommandLine|(Ljava/lang/String;[Lsun/hotspot/parser/DiagnosticCommand;)[Ljava/lang/Object;|WB_ParseCommandLine|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.printHeapSizes|()V|WB_PrintHeapSizes|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.printOsInfo|()V|WB_PrintOsInfo|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.readFromNoaccessArea|()V|WB_ReadFromNoaccessArea|BIN_SCAN
