# lib | status | bindings | high_conf | sym_infer | unknown | note
libreadline.so.8.2|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libresolv.so.2|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
librt.so.1|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libseccomp.so.2.5.4|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libselinux.so.1|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsemanage.so.2|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsepol.so.2|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsigar-amd64-linux.so|OK|0|0|0|0|
libsmartcols.so.1.1.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsnappy.so.1.1.9|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsnappyjava.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsnappyjava_snappy-java-1.1.10.4.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsnappyjava_snappy-java-1.1.10.4_linux-x86_64.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsqlite3.so.0.8.6|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libss.so.2.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libssl.so.3|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libstdc++.so.6.0.30|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libsystemd.so.0.35.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libtasn1.so.6.6.3|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libthread_db.so.1|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libtic.so.6.4|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libtinfo.so.6.4|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libtirpc.so.3.0.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libudev.so.1.7.5|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libunistring.so.2.2.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libutil.so.1|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libuuid.so.1.3.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libverify.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libxtables.so.12.7.0|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libxxhash.so.0.8.1|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libz.so.1.2.13|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libzip.so|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
libzstd-jni-1.5.7-2.so|SKIPPED_NOT_ELF|0|0|0|0|not ELF: Magic number does not match
libzstd-jni-1.5.7-2_zstd-jni-1.5.7-2.so|SKIPPED_NOT_ELF|0|0|0|0|unsupported arch: IBM S/390
libzstd.so.1.5.4|SKIPPED_NO_JNI_ONLOAD|0|0|0|0|
