=== JNA Direct Mapping Hits ===
Format: methodSig | lib | symbol | apiPattern | jar
<com.sun.jna.Native: void read(com.sun.jna.Pointer,long,long,double[],int,int)> | <?> | read | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setShort(com.sun.jna.Pointer,long,long,short)> | <?> | setShort | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setByte(com.sun.jna.Pointer,long,long,byte)> | <?> | setByte | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void close(long)> | <?> | close | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setLastError(int)> | <?> | setLastError | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setFloat(com.sun.jna.Pointer,long,long,float)> | <?> | setFloat | <?> | jna-4.5.1.jar
<com.sun.jna.Native: int getLastError()> | <?> | getLastError | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void write(com.sun.jna.Pointer,long,long,short[],int,int)> | <?> | write | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long getWindowHandle0(java.awt.Component)> | <?> | getWindowHandle0 | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long getLong(com.sun.jna.Pointer,long,long)> | <?> | getLong | <?> | jna-4.5.1.jar
<com.sun.jna.Native: float invokeFloat(com.sun.jna.Function,long,int,java.lang.Object[])> | <?> | invokeFloat | <?> | jna-4.5.1.jar
<com.sun.jna.Native: boolean isProtected()> | <?> | isProtected | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long _getPointer(long)> | <?> | _getPointer | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void write(com.sun.jna.Pointer,long,long,long[],int,int)> | <?> | write | <?> | jna-4.5.1.jar
<com.sun.jna.Native: java.lang.String getAPIChecksum()> | <?> | getAPIChecksum | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setInt(com.sun.jna.Pointer,long,long,int)> | <?> | setInt | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void write(com.sun.jna.Pointer,long,long,byte[],int,int)> | <?> | write | <?> | jna-4.5.1.jar
<com.sun.jna.Native: long _getDirectBufferPointer(java.nio.Buffer)> | <?> | _getDirectBufferPointer | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void ffi_free_closure(long)> | <?> | ffi_free_closure | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void read(com.sun.jna.Pointer,long,long,short[],int,int)> | <?> | read | <?> | jna-4.5.1.jar
<com.sun.jna.Native: double invokeDouble(com.sun.jna.Function,long,int,java.lang.Object[])> | <?> | invokeDouble | <?> | jna-4.5.1.jar
<com.sun.jna.Native: void setChar(com.sun.jna.Pointer,long,long,char)> | <?> | setChar | <?> | jna-4.5.1.jar
