# JVM native method bindings extracted from binary (RegisterNatives tables)
# Format: library|java_class.method|signature|native_symbol|confidence
#
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndBitwiseOr|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndBitwiseXorAcquire|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndBitwiseXorRelease|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndBitwiseXor|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndSetAcquire|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndSetRelease|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getAndSet|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getMemberVMInfo|(Ljava/lang/invoke/MemberName;)Ljava/lang/Object;|MHN_getMemberVMInfo|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getNamedCon|(I[Ljava/lang/Object;)I|MHN_getNamedCon|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getOpaque|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.getVolatile|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.get|([Ljava/lang/Object;)Ljava/lang/Object;|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.init|(Ljava/lang/invoke/MemberName;Ljava/lang/Object;)V|MHN_init_Mem|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.invokeExact|([Ljava/lang/Object;)Ljava/lang/Object;|MH_invokeExact_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.invoke|([Ljava/lang/Object;)Ljava/lang/Object;|MH_invoke_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.objectFieldOffset|(Ljava/lang/invoke/MemberName;)J|MHN_objectFieldOffset|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.resolve|(Ljava/lang/invoke/MemberName;Ljava/lang/Class;IZ)Ljava/lang/invoke/MemberName;|MHN_resolve_Mem|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.setCallSiteTargetNormal|(Ljava/lang/invoke/CallSite;Ljava/lang/invoke/MethodHandle;)V|MHN_setCallSiteTargetNormal|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.setCallSiteTargetVolatile|(Ljava/lang/invoke/CallSite;Ljava/lang/invoke/MethodHandle;)V|MHN_setCallSiteTargetVolatile|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.setOpaque|([Ljava/lang/Object;)V|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.setRelease|([Ljava/lang/Object;)V|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.setVolatile|([Ljava/lang/Object;)V|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.set|([Ljava/lang/Object;)V|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.staticFieldBase|(Ljava/lang/invoke/MemberName;)Ljava/lang/Object;|MHN_staticFieldBase|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.staticFieldOffset|(Ljava/lang/invoke/MemberName;)J|MHN_staticFieldOffset|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.weakCompareAndSetAcquire|([Ljava/lang/Object;)Z|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.weakCompareAndSetPlain|([Ljava/lang/Object;)Z|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.weakCompareAndSetRelease|([Ljava/lang/Object;)Z|VH_UOE|BIN_SCAN
libjvm.so|java.lang.invoke.MethodHandleNatives.weakCompareAndSet|([Ljava/lang/Object;)Z|VH_UOE|BIN_SCAN
libjvm.so|jdk.internal.foreign.abi.NativeEntryPoint.freeDowncallStub0|(J)Z|NEP_freeDowncallStub|BIN_SCAN
libjvm.so|jdk.internal.foreign.abi.NativeEntryPoint.makeDowncallStub|(Ljava/lang/invoke/MethodType;Ljdk/internal/foreign/abi/ABIDescriptor;[Ljdk/internal/foreign/abi/VMStorage;[Ljdk/internal/foreign/abi/VMStorage;ZIZ)J|NEP_makeDowncallStub|BIN_SCAN
libjvm.so|jdk.internal.foreign.abi.UpcallLinker.freeUpcallStub0|(J)Z|UH_FreeUpcallStub0|BIN_SCAN
libjvm.so|jdk.internal.foreign.abi.UpcallLinker.makeUpcallStub|(Ljava/lang/invoke/MethodHandle;Ljdk/internal/foreign/abi/ABIDescriptor;Ljdk/internal/foreign/abi/UpcallLinker$CallRegs;ZJ)J|UL_MakeUpcallStub|BIN_SCAN
libjvm.so|jdk.internal.misc.ScopedMemoryAccess.closeScope0|(Ljdk/internal/foreign/MemorySessionImpl;Ljdk/internal/misc/ScopedMemoryAccess$ScopedAccessError;)V|ScopedMemoryAccess_closeScope|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.allocateInstance|(Ljava/lang/Class;)Ljava/lang/Object;|Unsafe_AllocateInstance|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.allocateMemory0|(J)J|Unsafe_AllocateMemory0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.arrayBaseOffset0|(Ljava/lang/Class;)I|Unsafe_ArrayBaseOffset0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.arrayIndexScale0|(Ljava/lang/Class;)I|Unsafe_ArrayIndexScale0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.compareAndExchangeInt|(Ljava/lang/Object;JII)I|Unsafe_CompareAndExchangeInt|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.compareAndExchangeLong|(Ljava/lang/Object;JJJ)J|Unsafe_CompareAndExchangeLong|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.compareAndExchangeReference|(Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;|Unsafe_CompareAndExchangeReference|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.compareAndSetInt|(Ljava/lang/Object;JII)Z|Unsafe_CompareAndSetInt|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.compareAndSetLong|(Ljava/lang/Object;JJJ)Z|Unsafe_CompareAndSetLong|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.compareAndSetReference|(Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z|Unsafe_CompareAndSetReference|BIN_SCAN
