declared_library	symbol	source_report
libssl.so.3	SSL_CTX_set_cipher_list	ffi_hits.txt
libssl.so.3	SSL_CTX_set_ciphersuites	ffi_hits.txt
libssl.so.3	SSL_CTX_set_client_CA_list	ffi_hits.txt
libssl.so.3	SSL_CTX_set_default_passwd_cb	ffi_hits.txt
libssl.so.3	SSL_CTX_set_default_verify_paths	ffi_hits.txt
libssl.so.3	SSL_CTX_set_options	ffi_hits.txt
libssl.so.3	SSL_CTX_set_session_id_context	ffi_hits.txt
libssl.so.3	SSL_CTX_set_timeout	ffi_hits.txt
libssl.so.3	SSL_CTX_set_tmp_dh_callback	ffi_hits.txt
libssl.so.3	SSL_CTX_set_verify	ffi_hits.txt
libssl.so.3	SSL_CTX_use_PrivateKey	ffi_hits.txt
libssl.so.3	SSL_CTX_use_certificate	ffi_hits.txt
libssl.so.3	SSL_CTX_use_certificate_chain_file	ffi_hits.txt
libssl.so.3	SSL_SESSION_get_id	ffi_hits.txt
libssl.so.3	SSL_SESSION_get_time	ffi_hits.txt
libssl.so.3	SSL_add_file_cert_subjects_to_stack	ffi_hits.txt
libssl.so.3	SSL_do_handshake	ffi_hits.txt
libssl.so.3	SSL_free	ffi_hits.txt
libssl.so.3	SSL_get0_alpn_selected	ffi_hits.txt
libssl.so.3	SSL_get1_peer_certificate	ffi_hits.txt
libssl.so.3	SSL_get_ciphers	ffi_hits.txt
libssl.so.3	SSL_get_current_cipher	ffi_hits.txt
libssl.so.3	SSL_get_ex_data_X509_STORE_CTX_idx	ffi_hits.txt
libssl.so.3	SSL_get_options	ffi_hits.txt
libssl.so.3	SSL_get_peer_cert_chain	ffi_hits.txt
libssl.so.3	SSL_get_privatekey	ffi_hits.txt
libssl.so.3	SSL_get_session	ffi_hits.txt
libssl.so.3	SSL_get_shutdown	ffi_hits.txt
libssl.so.3	SSL_get_version	ffi_hits.txt
libssl.so.3	SSL_in_init	ffi_hits.txt
libssl.so.3	SSL_load_client_CA_file	ffi_hits.txt
libssl.so.3	SSL_new	ffi_hits.txt
libssl.so.3	SSL_pending	ffi_hits.txt
libssl.so.3	SSL_read	ffi_hits.txt
libssl.so.3	SSL_renegotiate	ffi_hits.txt
libssl.so.3	SSL_renegotiate_pending	ffi_hits.txt
libssl.so.3	SSL_set_accept_state	ffi_hits.txt
libssl.so.3	SSL_set_bio	ffi_hits.txt
libssl.so.3	SSL_set_cipher_list	ffi_hits.txt
libssl.so.3	SSL_set_connect_state	ffi_hits.txt
libssl.so.3	SSL_set_info_callback	ffi_hits.txt
libssl.so.3	SSL_set_options	ffi_hits.txt
libssl.so.3	SSL_set_verify	ffi_hits.txt
libssl.so.3	SSL_set_verify_result	ffi_hits.txt
libssl.so.3	SSL_shutdown	ffi_hits.txt
libssl.so.3	SSL_verify_client_post_handshake	ffi_hits.txt
libssl.so.3	SSL_write	ffi_hits.txt
libssl.so.3	TLS_server_method	ffi_hits.txt
libcrypto.so.3	X509_EXTENSION_get_data	ffi_hits.txt
libcrypto.so.3	X509_LOOKUP_ctrl	ffi_hits.txt
libcrypto.so.3	X509_LOOKUP_file	ffi_hits.txt
libcrypto.so.3	X509_LOOKUP_hash_dir	ffi_hits.txt
libcrypto.so.3	X509_STORE_CTX_get0_store	ffi_hits.txt
libcrypto.so.3	X509_STORE_CTX_get0_untrusted	ffi_hits.txt
libcrypto.so.3	X509_STORE_CTX_get1_issuer	ffi_hits.txt
libcrypto.so.3	X509_STORE_CTX_get_current_cert	ffi_hits.txt
libcrypto.so.3	X509_STORE_CTX_get_error	ffi_hits.txt
