library	function	address	syscall_count
libssl.so.3	BN_get_rfc3526_prime_1536	e59d0	35
libssl.so.3	BN_get_rfc3526_prime_2048	e5a00	35
libssl.so.3	BN_get_rfc3526_prime_3072	e5a30	35
libssl.so.3	BN_get_rfc3526_prime_4096	e5a60	35
libssl.so.3	BN_get_rfc3526_prime_6144	e5a90	35
libssl.so.3	BN_get_rfc3526_prime_8192	e5ac0	35
libssl.so.3	BN_get_rfc2409_prime_768	e6310	35
libssl.so.3	BN_get_rfc2409_prime_1024	e6330	35
libssl.so.3	BN_new	e8f90	35
libssl.so.3	BN_set_word	e9b50	35
libssl.so.3	DH_set0_pqg	12c3a0	35
libssl.so.3	DH_free	12e180	35
libssl.so.3	DH_new	12e850	35
libssl.so.3	EC_GROUP_get_curve_name	13d450	35
libssl.so.3	EC_GROUP_free	142a60	35
libssl.so.3	EC_KEY_free	142c10	35
libssl.so.3	d2i_ECPKParameters	145240	35
libssl.so.3	EC_KEY_new_by_curve_name	145af0	35
libssl.so.3	ENGINE_free	16be90	35
libssl.so.3	ERR_clear_error	16d780	35
libssl.so.3	ERR_get_error	16dc90	35
libssl.so.3	ERR_peek_last_error	16dde0	35
libssl.so.3	ENGINE_ctrl_cmd_string	170f50	35
libssl.so.3	ENGINE_by_id	172c50	35
libssl.so.3	ENGINE_load_private_key	173080	35
libssl.so.3	ENGINE_register_all_complete	174370	35
libssl.so.3	ENGINE_set_default	174470	35
libssl.so.3	ERR_error_string_n	1753b0	35
libssl.so.3	ERR_error_string	1753e0	35
libssl.so.3	EVP_MD_fetch	180a10	35
libssl.so.3	EVP_MD_free	181ff0	35
libssl.so.3	EVP_MD_get0_provider	18de40	35
libssl.so.3	EVP_PKEY_get_bits	1a2850	35
libssl.so.3	EVP_PKEY_get_base_id	1a44c0	35
libssl.so.3	EVP_PKEY_free	1a6600	35
libssl.so.3	CRYPTO_free	1b7f00	35
libssl.so.3	OpenSSL_version_num	1b8a40	35
libssl.so.3	OpenSSL_version	1bb8b0	35
libssl.so.3	OSSL_PROVIDER_get0_name	1c19d0	35
libssl.so.3	OCSP_resp_get0_certs	1cdd10	35
libssl.so.3	OCSP_resp_get0	1ce140	35
libssl.so.3	d2i_OCSP_RESPONSE	1d03d0	35
libssl.so.3	i2d_OCSP_REQUEST	1d0640	35
libssl.so.3	OCSP_REQUEST_new	1d08d0	35
libssl.so.3	OCSP_CERTID_free	1d0a50	35
libssl.so.3	OCSP_request_add0_id	1d0a90	35
libssl.so.3	OCSP_REQUEST_free	1d0b10	35
libssl.so.3	OCSP_RESPONSE_free	1d0b50	35
libssl.so.3	OCSP_BASICRESP_free	1d0c10	35
libssl.so.3	OCSP_response_status	1d0fe0	35
libssl.so.3	OCSP_single_get0_status	1d1000	35
libssl.so.3	OCSP_response_get1_basic	1d10b0	35
libssl.so.3	OCSP_check_validity	1d11e0	35
libssl.so.3	OCSP_request_add1_nonce	1d1870	35
libssl.so.3	OCSP_check_nonce	1d18f0	35
libssl.so.3	OCSP_cert_to_id	1d1f70	35
libssl.so.3	OCSP_resp_find	1d2030	35
